RecipeId,Name,Ingredients,Calories,FatContent,ProteinContent,CarbohydrateContent,RecipeServings,Rating
1,Creamy Salad,"['soy sauce', 'grapes', 'cucumber', 'spices', 'bell pepper']",574,3.3,5.8,27.8,2,4.6
2,Zesty Pasta,"['potato', 'peas', 'paneer', 'oats', 'egg', 'cashew']",276,11.8,12.9,43.1,4,4.2
3,Fresh Soup,"['fish', 'potato', 'avocado', 'chili', 'corn']",539,15.6,22.4,20.5,4,3.7
4,Creamy Bowl,"['chili', 'grapes', 'corn']",581,27.2,15.1,55.4,3,4.3
5,Creamy Casserole,"['broccoli', 'strawberry', 'zucchini']",496,6.2,17.6,76.3,1,3.8
6,Savory Salad,"['grapes', 'broccoli', 'beans', 'oats', 'bell pepper', 'potato']",351,24.3,16.6,32.3,3,3.6
7,Spicy Curry,"['cream', 'bread', 'milk', 'egg', 'tomato', 'carrot']",400,29.5,20.5,9.1,4,4.0
8,Fresh Pasta,"['bread', 'bell pepper', 'orange', 'cashew', 'soy sauce']",222,28.7,25.1,21.7,2,4.9
9,Spicy Bowl,"['lemon', 'potato', 'egg']",445,3.0,3.4,39.1,4,4.8
10,Fresh Bowl,"['egg', 'onion', 'soy sauce', 'cucumber', 'chicken']",473,14.5,12.5,47.0,3,4.2
11,Savory Pasta,"['bread', 'tofu', 'spinach', 'zucchini', 'butter', 'bell pepper']",287,9.2,7.5,51.5,3,4.8
12,Crispy Casserole,"['tofu', 'lettuce', 'grapes', 'yogurt', 'garlic', 'orange']",471,25.5,25.1,40.5,4,4.9
13,Zesty Salad,"['bell pepper', 'onion', 'fish', 'pasta', 'peas', 'banana']",362,10.5,28.4,54.3,4,4.3
14,Grilled Toast,"['honey', 'yogurt', 'chicken', 'bread']",342,17.0,3.5,58.7,1,3.7
15,Tangy Stir Fry,"['avocado', 'onion', 'lemon']",381,1.2,35.8,13.6,2,4.9
16,Grilled Pasta,"['almonds', 'ginger', 'bell pepper']",188,6.8,14.6,61.9,4,4.3
17,Tangy Curry,"['cucumber', 'grapes', 'bread', 'strawberry', 'banana']",474,17.4,11.0,21.6,2,4.4
